P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
KBL5_096      & RTE1_095      >602.089823204  Highly sign.
KOL1_062      & RTE1_095      >718.084289204  Highly sign.
KTE1_096      & RTE1_095      >674.166476204  Highly sign.
KTE2_096      & RTE1_095      >566.867791204  Highly sign.
KTE4_066      & RTE1_095      >617.029931204  Highly sign.
KTE5_096      & RTE1_095      >566.291334204  Highly sign.
KTE6_096      & RTE1_095      >638.361845204  Highly sign.
KTE7_096      & RTE1_095      >709.391599204  Highly sign.
KTE8_096      & RTE1_095      >641.887885204  Highly sign.
KTE9_064      & RTE1_095      >590.014200204  Highly sign.
KTL1_095      & RTE1_095      >620.614499204  Highly sign.
KTL2_095      & RTE1_095      >657.405819204  Highly sign.
RBL1_095      & RTE1_095      >384.797940200  Highly sign.
RBL2_095      & RTE1_095      >477.259960202  Highly sign.
RBL3_095      & RTE1_095      >440.708480202  Highly sign.
RBL4_095      & RTE1_095      >408.467429202  Highly sign.
FBM1_095      & RTE2_095      >365.912877202  Highly sign.
FBM2_095      & RTE2_095      >375.160958202  Highly sign.
FBM3_095      & RTE2_095      >288.428336202  <0.000063
FBM4_095      & RTE2_095      >411.003819202  Highly sign.
FOM1_095      & RTE2_095      >351.400848204  Highly sign.
FTM2_095      & RTE2_095      >329.718750202  Highly sign.
FTM3_093      & RTE2_095      >359.205615204  Highly sign.
FTM4_078      & RTE2_095      >272.842863204  <0.000914
FTM5_095      & RTE2_095      >333.903468204  Highly sign.
FTM6_095      & RTE2_095      >321.283655204  <0.000000
KBL1_096      & RTE2_095      >630.037588204  Highly sign.
KBL2_097      & RTE2_095      >585.175508204  Highly sign.
KBL4_096      & RTE2_095      >621.760078204  Highly sign.
KBL5_096      & RTE2_095      >547.115945204  Highly sign.
KOL1_062      & RTE2_095      >700.850179204  Highly sign.
KTE1_096      & RTE2_095      >645.268074204  Highly sign.
KTE2_096      & RTE2_095      >653.691576204  Highly sign.
KTE4_066      & RTE2_095      >643.833431204  Highly sign.
KTE5_096      & RTE2_095      >597.243103204  Highly sign.
KTE6_096      & RTE2_095      >577.013502204  Highly sign.
KTE7_096      & RTE2_095      >657.184951204  Highly sign.
KTE8_096      & RTE2_095      >660.140654204  Highly sign.
KTE9_064      & RTE2_095      >570.784055204  Highly sign.
KTL1_095      & RTE2_095      >606.556355204  Highly sign.
KTL2_095      & RTE2_095      >569.079520204  Highly sign.
RBL1_095      & RTE2_095      >434.402171202  Highly sign.
RBL2_095      & RTE2_095      >417.342742202  Highly sign.
RBL3_095      & RTE2_095      >419.218196202  Highly sign.
RBL4_095      & RTE2_095      >441.227869202  Highly sign.
RTE1_095      & RTE2_095      218.378096200  0.177367
FBM1_095      & RUL1_096      >524.938155204  Highly sign.
FBM2_095      & RUL1_096      >545.820994204  Highly sign.
FBM3_095      & RUL1_096      >568.291472204  Highly sign.
FBM4_095      & RUL1_096      >613.246967204  Highly sign.
FOM1_095      & RUL1_096      >528.612136204  Highly sign.
FTM2_095      & RUL1_096      >665.529155204  Highly sign.
FTM3_093      & RUL1_096      >624.593407204  Highly sign.
FTM4_078      & RUL1_096      >527.247724204  Highly sign.
FTM5_095      & RUL1_096      >657.392057204  Highly sign.
FTM6_095      & RUL1_096      >491.756435204  Highly sign.
KBL1_096      & RUL1_096      >695.991171204  Highly sign.
KBL2_097      & RUL1_096      >674.910742204  Highly sign.
KBL4_096      & RUL1_096      >712.598313204  Highly sign.
KBL5_096      & RUL1_096      >738.726330204  Highly sign.
KOL1_062      & RUL1_096      >584.020244204  Highly sign.
KTE1_096      & RUL1_096      >570.647351204  Highly sign.
KTE2_096      & RUL1_096      >690.104965204  Highly sign.
KTE4_066      & RUL1_096      >646.605040204  Highly sign.
